"Gender","Customer Type","Age","Type of Travel","Class","Flight Distance","Inflight wifi service","Departure/Arrival time convenient","Ease of Online booking","Gate location","Food and drink","Online boarding","Seat comfort","Inflight entertainment","On-board service","Leg room service","Baggage handling","Checkin service","Inflight service","Cleanliness","Departure Delay in Minutes","Arrival Delay in Minutes","satisfaction"
"Male","Loyal Customer",25,"Business travel","Business",3975,"3","2","3","3","4","4","4","4","3","4","4","3","5","4",45,37,"satisfied"
"Male","Loyal Customer",51,"Personal Travel","Eco Plus",2565,"3","1","3","4","3","5","5","1","1","4","3","5","2","5",38,24,"neutral or dissatisfied"
"Female","Loyal Customer",38,"Business travel","Eco",1195,"4","2","2","2","4","4","4","4","2","2","5","3","2","4",15,5,"satisfied"
"Female","disloyal Customer",26,"Business travel","Eco",784,"3","3","3","5","5","3","5","5","1","3","3","2","1","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business travel","Business",449,"3","3","3","3","2","5","4","4","4","4","4","4","4","5",40,102,"satisfied"
"Female","Loyal Customer",19,"Personal Travel","Eco",925,"3","5","2","3","4","2","2","4","3","3","4","4","4","4",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",17,"Business travel","Eco",588,"2","0","2","2","4","2","4","4","3","4","2","5","5","4",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",25,"Business travel","Business",1437,"4","0","4","2","2","4","2","2","5","2","5","3","4","2",14,0,"satisfied"
"Male","Loyal Customer",13,"Personal Travel","Eco",235,"2","5","2","3","3","2","3","3","1","5","1","2","5","3",17,21,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business travel","Business",3068,"1","1","1","1","2","5","5","4","4","5","4","4","4","5",2,1,"satisfied"
"Female","disloyal Customer",42,"Business travel","Eco",1874,"3","3","3","3","3","3","3","3","5","3","3","2","3","3",0,5,"neutral or dissatisfied"
"Male","Loyal Customer",53,"Personal Travel","Eco Plus",399,"3","5","3","3","4","3","4","4","4","3","5","5","4","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Business travel","Business",147,"4","4","4","4","4","4","3","4","4","4","4","1","4","1",119,124,"neutral or dissatisfied"
"Female","disloyal Customer",55,"Business travel","Eco Plus",107,"3","3","3","3","3","3","1","3","4","4","4","2","4","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business travel","Business",2480,"5","5","4","5","3","4","5","2","2","3","2","4","2","5",1,0,"satisfied"
"Female","disloyal Customer",29,"Business travel","Eco",1337,"3","3","3","3","5","3","5","5","2","2","3","2","3","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",26,"Business travel","Business",1501,"3","3","3","3","4","4","4","4","5","4","4","4","4","4",0,0,"satisfied"
"Male","Loyal Customer",50,"Business travel","Business",3433,"5","1","5","5","3","3","1","5","5","5","3","4","5","4",45,59,"satisfied"
"Male","Loyal Customer",58,"Business travel","Business",464,"3","3","3","3","4","5","5","4","4","4","4","4","4","3",19,29,"satisfied"
"Female","Loyal Customer",24,"Personal Travel","Eco",226,"1","5","1","4","5","1","5","5","4","5","5","4","4","5",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Business travel","Eco",819,"3","3","3","2","3","1","1","5","2","5","3","1","4","1",150,165,"neutral or dissatisfied"
"Female","Loyal Customer",37,"Business travel","Business",395,"3","2","2","2","5","3","4","3","3","3","3","1","3","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Personal Travel","Eco",896,"3","2","3","4","1","3","1","1","3","4","3","2","4","1",13,3,"neutral or dissatisfied"
"Male","Loyal Customer",14,"Personal Travel","Eco",327,"4","3","4","4","4","4","4","4","4","5","5","4","5","4",13,8,"neutral or dissatisfied"
"Female","Loyal Customer",10,"Personal Travel","Eco",448,"2","2","2","3","3","2","1","3","3","3","3","2","4","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",920,"1","4","4","4","2","4","4","1","1","1","1","4","1","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",10,"Personal Travel","Eco",1299,"2","4","2","2","4","2","4","4","3","5","3","4","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",300,"1","2","2","2","1","3","3","1","1","1","1","1","1","1",26,15,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Personal Travel","Eco Plus",374,"3","5","3","5","4","3","4","4","4","3","5","5","5","4",20,33,"neutral or dissatisfied"
"Male","Loyal Customer",33,"Personal Travel","Eco Plus",925,"1","5","1","3","2","1","2","2","3","5","2","3","1","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",19,"Personal Travel","Eco",679,"3","5","2","3","3","2","1","3","4","5","4","4","5","3",14,16,"neutral or dissatisfied"
"Female","disloyal Customer",23,"Business travel","Business",255,"0","3","0","3","5","0","5","5","4","2","4","5","4","5",4,6,"satisfied"
"Male","Loyal Customer",36,"Business travel","Business",3074,"1","1","1","1","3","5","4","5","5","5","5","5","5","4",0,62,"satisfied"
"Female","Loyal Customer",57,"Business travel","Business",3038,"3","3","3","3","3","4","4","5","5","5","5","4","5","5",0,0,"satisfied"
"Female","Loyal Customer",50,"Personal Travel","Eco",342,"2","4","2","3","3","4","3","2","2","2","2","3","2","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Business travel","Eco",859,"2","4","4","4","2","2","2","1","4","3","4","2","2","2",132,119,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Business travel","Eco",304,"4","4","4","4","4","4","4","1","2","3","1","4","3","4",193,184,"satisfied"
"Male","Loyal Customer",39,"Personal Travel","Eco",387,"4","2","4","2","4","4","4","4","3","3","2","1","2","4",0,0,"satisfied"
"Male","disloyal Customer",28,"Business travel","Business",1444,"2","2","2","3","3","2","3","3","4","2","3","1","4","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",13,"Business travel","Business",2422,"1","1","1","1","3","2","3","3","4","3","3","4","4","3",0,0,"satisfied"
"Male","Loyal Customer",39,"Business travel","Business",409,"5","5","5","5","2","4","4","4","4","4","4","4","4","3",0,0,"satisfied"
"Female","disloyal Customer",41,"Business travel","Eco",2153,"3","3","3","3","3","3","3","3","3","3","4","4","3","3",5,0,"neutral or dissatisfied"
"Female","Loyal Customer",36,"Personal Travel","Eco Plus",429,"3","3","5","3","4","5","4","4","5","5","1","5","3","4",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Business travel","Eco",1387,"1","1","1","2","1","1","1","1","4","2","3","4","4","1",18,0,"neutral or dissatisfied"
"Male","Loyal Customer",15,"Personal Travel","Eco",228,"3","1","3","2","5","3","5","5","3","3","1","2","1","5",21,14,"neutral or dissatisfied"
"Male","Loyal Customer",10,"Personal Travel","Eco",1183,"3","5","4","5","1","4","1","1","3","2","5","5","4","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Business travel","Business",1962,"4","1","3","1","1","3","2","4","4","4","4","1","4","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",51,"Business travel","Business",802,"3","2","2","2","2","3","4","3","3","3","3","1","3","3",4,0,"neutral or dissatisfied"
"Female","Loyal Customer",34,"Personal Travel","Eco",516,"2","1","2","2","4","2","4","4","2","1","2","3","2","4",0,1,"neutral or dissatisfied"
"Male","Loyal Customer",32,"Business travel","Business",2092,"4","4","4","4","4","4","4","4","3","5","3","4","5","4",0,0,"satisfied"
"Male","disloyal Customer",25,"Business travel","Eco",1728,"2","2","2","4","3","2","3","3","2","2","2","1","4","3",57,73,"neutral or dissatisfied"
"Male","disloyal Customer",31,"Business travel","Eco",957,"2","2","2","4","4","2","4","4","4","2","4","3","4","4",15,22,"neutral or dissatisfied"
"Male","Loyal Customer",22,"Personal Travel","Eco",1197,"5","4","5","1","2","5","1","2","3","2","5","4","5","2",0,0,"satisfied"
"Female","Loyal Customer",45,"Personal Travel","Eco",236,"1","4","1","2","2","4","5","2","2","1","2","4","2","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business travel","Business",1727,"1","1","1","1","4","5","5","4","4","4","4","4","4","5",0,0,"satisfied"
"Female","disloyal Customer",21,"Business travel","Business",1009,"3","2","3","3","1","3","4","1","1","4","3","2","4","1",0,4,"neutral or dissatisfied"
"Female","Loyal Customer",35,"Business travel","Business",1084,"4","4","4","4","3","5","4","4","4","4","4","3","4","5",5,11,"satisfied"
"Male","Loyal Customer",54,"Business travel","Eco",1235,"3","3","4","3","3","3","3","3","4","4","1","1","2","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Business travel","Eco",481,"1","5","5","5","2","1","2","2","1","3","3","4","4","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Personal Travel","Eco",390,"1","1","1","2","4","1","4","4","1","3","2","2","2","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business travel","Eco",712,"3","3","3","3","5","4","3","3","3","3","3","2","3","3",0,9,"neutral or dissatisfied"
"Female","Loyal Customer",57,"Business travel","Business",590,"5","5","5","5","4","4","5","5","5","5","5","3","5","4",40,40,"satisfied"
"Female","Loyal Customer",62,"Personal Travel","Eco Plus",546,"3","4","3","3","2","4","3","4","4","3","4","1","4","4",42,36,"neutral or dissatisfied"
"Female","Loyal Customer",28,"Business travel","Business",1975,"2","2","2","2","4","4","4","4","4","4","4","3","5","4",72,59,"satisfied"
"Male","Loyal Customer",62,"Business travel","Business",3054,"4","4","4","4","2","5","5","5","5","5","5","4","5","3",0,0,"satisfied"
"Male","Loyal Customer",72,"Business travel","Business",2068,"2","2","2","2","2","3","3","2","2","3","2","2","2","3",0,8,"neutral or dissatisfied"
"Female","Loyal Customer",43,"Personal Travel","Eco",351,"1","3","1","4","2","4","3","2","2","1","2","4","2","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business travel","Eco Plus",1090,"3","2","2","2","2","3","3","3","3","3","3","1","3","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Business travel","Eco Plus",1089,"3","3","3","3","3","3","3","3","3","1","3","1","3","3",0,13,"neutral or dissatisfied"
"Female","disloyal Customer",36,"Business travel","Eco",190,"4","2","4","4","5","4","5","5","1","2","3","2","3","5",29,13,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business travel","Business",2521,"2","2","2","2","3","3","5","4","4","4","4","4","4","4",20,10,"satisfied"
"Male","Loyal Customer",37,"Personal Travel","Eco",771,"1","4","1","2","2","1","2","2","4","2","4","3","4","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",39,"Business travel","Business",2165,"2","2","2","2","4","4","5","3","3","3","3","4","3","3",3,0,"satisfied"
"Male","Loyal Customer",52,"Business travel","Business",802,"2","4","4","4","4","3","2","2","2","2","2","1","2","3",61,52,"neutral or dissatisfied"
"Female","Loyal Customer",23,"Business travel","Business",2712,"1","1","1","1","4","4","4","4","5","4","5","5","4","4",0,0,"satisfied"
"Female","Loyal Customer",34,"Business travel","Business",187,"1","1","1","1","2","5","5","4","4","4","4","5","4","3",0,0,"satisfied"
"Female","disloyal Customer",25,"Business travel","Eco",551,"2","2","2","4","2","2","2","2","1","5","3","4","3","2",95,85,"neutral or dissatisfied"
"Female","disloyal Customer",20,"Business travel","Business",631,"4","0","4","4","2","4","2","2","4","2","4","5","4","2",0,0,"satisfied"
"Female","Loyal Customer",40,"Personal Travel","Eco",1514,"2","3","2","2","5","2","5","5","3","3","5","4","2","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",22,"Business travel","Eco",591,"5","1","5","5","5","4","5","5","5","5","1","1","1","5",0,0,"satisfied"
"Female","Loyal Customer",39,"Business travel","Business",2092,"2","2","2","2","2","4","4","5","5","5","5","4","5","5",9,0,"satisfied"
"Female","Loyal Customer",28,"Personal Travel","Eco",224,"4","5","0","4","5","0","5","5","5","4","5","5","5","5",105,107,"neutral or dissatisfied"
"Female","Loyal Customer",69,"Personal Travel","Eco",1096,"1","4","1","4","2","2","3","3","3","1","1","1","3","2",88,93,"neutral or dissatisfied"
"Female","disloyal Customer",26,"Business travel","Eco",907,"4","4","4","4","5","4","5","5","1","3","4","4","4","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Business travel","Business",936,"3","5","4","4","3","3","3","3","3","3","4","4","4","3",6,12,"neutral or dissatisfied"
"Female","Loyal Customer",34,"Business travel","Eco",227,"4","4","4","4","4","4","4","4","1","4","3","1","2","4",0,0,"satisfied"
"Female","Loyal Customer",47,"Business travel","Business",363,"5","5","5","5","3","5","4","5","5","5","5","3","5","4",0,0,"satisfied"
"Female","Loyal Customer",36,"Business travel","Business",2570,"3","3","3","3","5","2","2","4","4","4","4","4","4","2",0,17,"satisfied"
"Female","Loyal Customer",18,"Personal Travel","Eco Plus",317,"4","2","4","3","3","4","3","3","2","2","3","1","3","3",68,85,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Business travel","Business",861,"2","2","3","2","2","3","3","2","2","2","2","4","2","3",0,7,"neutral or dissatisfied"
"Female","Loyal Customer",61,"Business travel","Eco Plus",597,"4","2","2","2","1","3","3","4","4","4","4","3","4","5",14,14,"satisfied"
"Male","Loyal Customer",45,"Personal Travel","Eco",1120,"4","1","5","3","5","5","5","5","2","1","4","4","3","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",16,"Business travel","Business",1716,"3","3","4","3","5","5","5","5","4","5","5","3","4","5",0,0,"satisfied"
"Male","Loyal Customer",45,"Personal Travel","Eco",221,"4","1","4","2","2","4","2","2","2","5","2","2","2","2",0,7,"satisfied"
"Female","Loyal Customer",42,"Personal Travel","Eco",472,"2","4","2","2","2","3","4","2","2","2","2","3","2","4",32,16,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",2259,"4","4","4","4","3","5","5","5","5","5","5","4","5","3",112,102,"satisfied"
"Female","Loyal Customer",47,"Business travel","Business",342,"2","2","2","2","5","4","4","5","5","5","5","3","5","5",51,50,"satisfied"
